ingredient',pairings'
'apricots',"['allspice', ' almonds', ' amaretto', ' anise', ' apples', ' apricot brandy', ' bananas', ' blackberries', ' blueberries', ' brandy', ' butter, unsalted', ' caramel', ' cardamom', ' cayenne', ' cheese', ' cheesecake', ' cherries', ' chicken', ' chocolate, white', ' cinnamon', ' coconut', ' coffee / espresso', ' cognac', ' coriander', ' cranberries', ' cream and ice cream', ' crème anglaise', ' custards', ' duck', ' foie gras', ' game', ' garlic', ' ginger', ' hazelnuts', ' honey', ' ice cream', ' kirsch', ' lamb', ' lemon, juice', ' lemon, zest', ' lemon verbena', ' liqueurs, apricot', ' liqueurs, nut', ' maple syrup', ' mascarpone', ' meringue', ' middle eastern stews', ' mint', ' nectarines', ' nutmeg', ' nuts', ' oats and oatmeal', ' onions', ' orange, juice', ' orange, zest', ' orange liqueur', ' peaches', ' pepper, black', ' pineapple', ' pine nuts', ' pistachios', ' plums', ' pork', ' poultry', ' praline', ' prunes', ' raisins', ' raspberries', ' rice pudding', ' rosemary', ' rum', ' saffron', ' salads', ' sauternes', ' sour cream', ' strawberries', ' sugar, brown', ' sugar, white', ' tea, apple', ' tea, apricot', ' tea, earl grey', ' vanilla', ' vinegar, red wine', ' walnuts', ' wine, sweet', ' wine, white', ' yogurt']"
"'apricots, dried'","['allspice', ' cherries, dried', ' cinnamon', ' currants', ' custard', ' french toast', ' ginger', ' hazelnuts', ' honey', ' ice cream', ' lemon, juice', ' lemon, zest', ' madeira', ' orange, juice', ' orange, zest', ' pancakes/crepes', ' pistachios', ' pork', ' prunes', ' pumpkin seeds', ' raisins', ' rice pudding', ' sugar', ' tamarind paste', ' vanilla', ' wine, sweet white']"
'aroma',"['chocolate', ' cinnamon', ' herbs', ' pineapple', ' sous-vide cooking', ' spices', ' star anise', ' truffles', ' vanilla']"
'artichokes',"['aioli', ' anchovies', ' arugula', ' bacon', ' basil', ' bay leaf', ' beans, fava', ' beets', ' bell peppers', ' bread crumbs', ' butter', ' capers', ' carrots', ' cashews', ' celery', ' cheese, emmental', ' cheese, goat', ' cheese, gruyère', ' cheese, parmesan', ' chervil', ' chicken', ' chives', ' coriander', ' cream', ' crème fraîche', ' eggs, yolk', ' eggs, hard-boiled', ' garlic', ' grapefruit', ' ham', ' hazelnuts', ' hollandaise sauce', ' leeks', ' lemon, confit', ' lemon, juice', ' lemon, zest', ' lobster', ' mayonnaise', ' mint', ' mushrooms', ' mustard, dijon', ' nuts, cashews', ' nuts, hazelnuts', ' nuts, walnuts', ' oil, hazelnut', ' oil, peanut', ' olive oil', ' olives, black', ' olives, niçoise', ' onions', ' orange', ' pancetta', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' pesto', ' piquillo peppers', ' potatoes', ' prosciutto', ' radicchio', ' red pepper flakes', ' rice', ' risotto', ' rosemary', ' saffron', ' sage', ' salads', ' salt, kosher', ' savory', ' shallots', ' shellfish', ' sherry, dry', ' shrimp', ' soy sauce', ' spinach', ' stock, chicken', ' sugar', ' tapenade', ' tarragon, fresh', ' thyme, fresh', ' tomatoes', ' truffles, black', ' tuna', ' vinaigrette', ' vinegar, balsamic', ' vinegar, rice', ' vinegar, sherry', ' vinegar, white wine', ' walnuts', ' wine, dry white', ' yogurt']"
"'artichokes, jerusalem'","['anise', ' bacon', ' bay leaf', ' butter', ' celery', ' cheese, goat', ' chervil', ' chives', ' coriander', ' cream', ' cumin', ' dill', ' fennel leaves', ' fennel seeds', ' garlic', ' ginger', ' hazelnuts', ' leeks', ' lemon, juice', ' mace', ' meats', ' morels', ' nutmeg', ' oil, nut', ' oil, sunflower seed', ' olive oil', ' onions', ' parsley, flat-leaf', ' pepper, black', ' potatoes', ' rosemary', ' sage', ' salmon', ' salt, sea', ' shallots', ' stock, chicken', ' tarragon', ' thyme', ' vinegar', ' wine, dry white']"
'arugula',"['almonds', ' basil', ' beans, white', ' bell peppers', ' cheese, cabrales', ' cheese, feta', ' cheese, goat', ' cheese, mozzarella', ' cheese, parmesan', ' chicken', ' cilantro', ' clams', ' corn', ' cucumbers', ' dill', ' eggs', ' endive', ' fennel', ' fish', ' garlic', ' grapes', ' lemon juice', ' lettuces', ' lovage', ' mesclun salad greens', ' mint', ' mushrooms', ' mussels', ' nuts', ' olive oil', ' olives, black', ' oranges', ' pancetta', ' parsley', ' pasta', ' pears', ' pesto', ' pine nuts', ' potatoes', ' prosciutto', ' radicchio', ' radishes', ' risotto', ' salads and salad greens', ' salt', ' shallots', ' shellfish', ' tomatoes', ' tuna', ' vinaigrettes', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar,', ' red wine, sherry, white wine', ' watercress']"
'asparagus',"['almonds', ' anchovies', ' artichokes', ' basil', ' bay leaf', ' beets', ' bread crumbs', ' butter, brown', ' butter, unsalted', ' capers', ' caraway seeds', ' carrots', ' cayenne', ' cheese, chèvre', ' cheese, fontina', ' cheese, goat', ' cheese, muenster', ' cheese, parmesan', ' cheese, pecorino', ' cheese, ricotta', ' cheese, romano', ' chervil', ' chives', ' crab', ' cream, heavy', ' crème fraîche', ' dill', ' eggs and egg dishes', ' fava beans', ' garlic', ' ginger', ' ham', ' hollandaise sauce', ' leeks', ' lemon, juice', ' lemon, zest', ' lemon thyme', ' lime, juice', ' lobster', ' marsala wine', ' mascarpone', ' mayonnaise', ' mushrooms', ' mustard, dijon', ' oil, hazelnut', ' oil, peanut', ' oil, sesame', ' oil, truffle', ' olive oil', ' onions', ' orange', ' oysters', ' pancetta', ' parsley, flat-leaf', ' pasta', ' peas', ' pepper, black', ' pepper, white', ' peppers, piquillo', ' pistachios', ' potatoes', ' prosciutto', ' ramps', ' rice and risotto', ' saffron', ' sage', ' salmon', ' salt, kosher', ' salt, sea', ' sauce, béchamel', ' sauce, brown butter', ' sauce, mornay', ' savory', ' scallions', ' sesame seeds', ' shallots', ' shrimp', ' soups', ' sour cream', ' soy sauce', ' spinach', ' stocks, chicken', ' stocks, vegetable', ' tarragon', ' thyme, fresh', ' tomatoes', ' turnips', ' vermouth', ' vinaigrette, mustard', ' vinaigrette, sherry', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, white wine', ' wine, dry white', ' yogurt']"
"'asparagus, white'","['texture than green asparagus.', ' butter', ' cheese, parmesan', ' chicken', ' crab', ' eggs, whole', ' eggs, yolks', ' ham', ' hazelnuts', ' lemon', ' mushrooms', ' mustard', ' oil, truffle', ' olive oil', ' parsley', ' pepper, black', ' salt, sea', ' sauces, hollandaise', ' sauces, mayonnaise', ' sauces, romesco', ' shallots', ' shrimp', ' stock, chicken', ' sugar', ' tarragon', ' vinaigrette', ' vinegar, champagne', ' vinegar, white', ' wine, riesling', ' astringency', ' apples', ' artichokes', ' asparagus', ' bananas, unripe', ' basil', ' beans', ' berries', ' broccoli', ' buckwheat', ' cashews', ' cauliflower', ' coffee', ' cranberries', ' figs', ' fruits, dried', ' fruits, raw', ' fruits, unripe', ' grapes', ' hazelnuts', ' herbs', ' honey', ' legumes', ' lentils', ' lettuce', ' mace', ' marjoram', ' okra', ' parsley', ' peaches', ' pears', ' persimmons', ' plums', ' pomegranates', ' quinoa', ' rhubarb', ' rye', ' saffron', ' sprouts', ' tea', ' turmeric', ' turnips', ' vegetables, raw', ' walnuts']"
'avocados',"['arugula', ' bacon', ' basil and thai basil', ' beans, black', ' bell peppers', ' butter, unsalted', ' chayote', ' chervil', ' chicken', ' chile peppers, chipotle', ' chile peppers, jalapeño', ' chile peppers, serrano', ' chives', ' cilantro', ' corn and masa', ' crab', ' cream, heavy', ' crème fraîche', ' cucumbers', ' cumin', ' dashi', ' endive', ' fennel', ' fish', ' frisée', ' fruits', ' garlic', ' grapefruit', ' guacamole', ' jicama', ' lemon, juice', ' lemon, zest', ' lime, juice', ' lobster', ' mangoes', ' mayonnaise', ' oil, canola', ' olive oil', ' onions', ' orange', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' radishes', ' rocket', ' sake', ' salads', ' salsa', ' salt, kosher', ' salt, sea', ' sandwiches', ' scallions', ' shellfish', ' shrimp', ' smoked fish', ' soups', ' sour cream', ' soy sauce', ' spinach', ' stocks, chicken', ' stocks, vegetable', ' tabasco sauce', ' tarragon', ' tequila', ' tomatillos', ' tomatoes', ' vinaigrette', ' vinegar, balsamic', ' vinegar, cider', ' vinegar, tarragon', ' vinegar, white wine', ' walnuts, oil', ' yogurt']"
'bacon',"['aioli', ' avocados', ' beans', ' breakfast', ' butter, unsalted', ' celery', ' chervil', ' chicken', ' eggs', ' frisée', ' greens', ' lentils', ' lettuce', ' maple syrup', ' mayonnaise', ' mushrooms', ' olive oil', ' onions', ' parsnips', ' peas', ' pepper, black', ' potatoes', ' risotto', ' salads', ' salmon', ' salt', ' scallops', ' shallots', ' spinach', ' squash, winter', ' stews', ' stock, chicken', ' tomatoes', ' vinegar']"
'bananas',"['allspice', ' almonds', ' apricots', ' armagnac', ' baked goods', ' banana liqueur', ' blackberries', ' blueberries', ' brandy', ' breakfast', ' butter, unsalted', ' buttermilk', ' butterscotch', ' cakes', ' calvados', ' caramel', ' cardamom', ' cashews', ' cherries', ' chile peppers, habanero', ' chile peppers, jalapeño', ' chile peppers, serrano', ' chocolate, dark', ' chocolate, white', ' cinnamon', ' cloves', ' coconut and coconut milk', ' coffee', ' cognac', ' cream and ice cream', ' cream cheese', ' crème anglaise', ' crème fraîche', ' curries', ' custard', ' dates', ' desserts', ' figs, dried', ' ginger', ' guava', ' hazelnuts', ' honey', ' kirsch', ' lemon, juice', ' lemongrass', ' lime, juice', ' macadamia', ' mangoes, green', ' mangoes, ripe', ' maple syrup', ' meringue', ' nutmeg', ' oats and oatmeal', ' oil, vegetable', ' orange', ' pancakes', ' papaya', ' parsley', ' passion fruit', ' peanuts and peanut butter', ' pecans', ' pepper, black', ' pineapple', ' pistachios', ' pomegranate', ' puddings', ' raisins', ' raspberries, red', ' raspberries, black', ' rice', ' rum', ' salads, fruit', ' sesame seeds', ' smoothies and shakes', ' sour cream', ' strawberries', ' sugar, brown', ' sugar, white', ' sweet potatoes', ' tabasco sauce', ' vanilla', ' vinegar, white', ' walnuts', ' yogurt']"
'barley',"['beef', ' butter', ' garlic', ' lemon thyme', ' mirepoix (carrots, celery, onions)', ' mushrooms, cultivated', ' mushrooms, wild', ' olive oil', ' onions', ' oregano', ' parsley, flat-leaf', ' pepper, white', ' sage', ' salt, kosher', ' savory', ' scallions', ' soups', ' stocks, chicken', ' stocks, vegetable', ' thyme', ' tomatoes', ' vinegar, sherry']"
'basil',"['apricots', ' beans, green', ' beans, white', ' bell peppers', ' berries', ' blueberries', ' breads', ' broccoli', ' capers', ' carrots', ' cheese, feta', ' cheese, goat', ' cheese, mozzarella', ' cheese, parmesan', ' cheese, pecorino', ' cheese, ricotta', ' chicken', ' chile peppers', ' chives', ' chocolate, white', ' cilantro', ' cinnamon', ' coconut milk', ' corn', ' crab', ' cream and ice cream', ' cucumber', ' custards', ' duck', ' eggplant', ' eggs and egg dishes', ' fennel', ' fish', ' garlic', ' ginger, fresh', ' honey', ' lamb', ' lemon, juice', ' lemon verbena', ' lime, juice', ' liver', ' marjoram', ' meats', ' mint', ' mussels', ' mustard, powder', ' mustard, seeds', ' nectarines', ' olive oil', ' olives', ' onions', ' orange', ' oregano', ' parmesan cheese', ' parsley, flat-leaf', ' pasta dishes and sauces', ' peaches', ' peas', ' pepper, black', ' pepper, white', ' pesto', ' pineapple', ' pine nuts', ' pizza', ' pork', ' potatoes', ' poultry', ' rabbit', ' raspberries', ' rice', ' rosemary', ' salads and salad dressings', ' salmon', ' salt, kosher', ' salt, sea', ' sauces', ' scallops', ' sea bass', ' shellfish', ' shrimp', ' soups', ' soy sauce', ' spinach', ' squash, summer', ' summer vegetables', ' thyme', ' tomatoes and tomato sauces', ' tuna', ' vanilla', ' veal', ' vegetables', ' vinaigrettes', ' vinegar, balsamic', ' vinegar, sherry', ' watermelon', ' zucchini']"
"'basil, thai'","['beef', ' coconut milk', ' curries', ' ginger', ' lemongrass', ' noodles and noodle dishes', ' oils', ' salads', ' seafood', ' soups', ' vegetarian dishes', ' venison']"
'bass',"['artichoke', ' bay leaf', ' carrots', ' cayenne', ' celery', ' chervil', ' fennel', ' garlic', ' lemon', ' olive oil', ' onions', ' orange, juice', ' orange, zest', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' saffron', ' salmon', ' salt, sea', ' shallots', ' sole', ' star anise', ' stock, fish', ' tarragon', ' tomatoes and tomato paste', ' vanilla', ' wine, white']"
"'bass, black'","['asparagus', ' basil', ' beets', ' butter', ' cabbage, savoy', ' carrots', ' celery', ' chestnuts', ' chile peppers, jalapeño', ' chives', ' chutney', ' cilantro', ' coriander', ' duck, peking', ' endive', ' fennel', ' garlic', ' ginger', ' ham', ' honey', ' leeks', ' lemon', ' lemon, preserved', ' lime', ' marjoram', ' mint', ' mushrooms, porcini', ' mustard', ' olive oil', ' onions', ' orange, juice', ' oregano', ' papaya', ' parsley, flat-leaf', ' parsnips', ' peas', ' pepper, white', ' raisins', ' saffron', ' salt, sea', ' scallions', ' scallops', ' shallots', ' shrimp', ' squash, hubbard', ' squash, yellow', ' stock, chicken', ' tarragon', ' thyme', ' tomatoes', ' tuna', ' turnips', ' vinegar, champagne', ' vinegar, red wine', ' wine, red', ' wine, white', ' zucchini']"
"'bass, sea'","['almonds', ' anchovies', ' artichokes', ' bacon', ' basil', ' bay leaf', ' beans', ' beets', ' bell peppers, red', ' bell peppers, green', ' bread crumbs', ' butter, clarified', ' butter, salted', ' butter, unsalted', ' capers', ' cardamom', ' carrots', ' cayenne', ' celery', ' chervil', ' chives', ' cilantro', ' citrus', ' coriander', ' corn', ' cream', ' crème fraîche', ' fennel', ' garlic, fresh', ' ginger, fresh', ' hazelnuts', ' honey', ' leeks', ' lemon, juice', ' lemon, zest', ' lemon, preserved', ' lentils', ' lime, juice', ' marjoram', ' mayonnaise', ' mint', ' mirepoix (carrots, celery, onions)', ' mirin', ' mushrooms', ' mustard, dijon', ' new potatoes', ' oil, canola', ' oil, peanut', ' oil, sesame', ' olive oil', ' olives, black', ' onions, pearl', ' onions, yellow', ' oregano', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' potatoes', ' radishes', ' rhubarb', ' saffron', ' sake', ' salmon roe', ' salt, kosher', ' sauces, beurre blanc', ' sauces, brown butter', ' scallops', ' sesame seeds', ' shallots', ' shiso', ' shrimp', ' soy sauce', ' spearmint', ' spinach', ' star anise', ' stocks, chicken', ' stocks, fish', ' stocks, vegetable', ' sugar', ' tamarind', ' tarragon', ' thyme, fresh', ' tomatoes, cherry', ' tomatoes, grape', ' tomatoes, juice', ' tomatoes, roasted', ' vanilla', ' vermouth', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, rice', ' vinegar, sherry', ' vinegar, white wine', ' wine, dry white', ' yuzu juice', ' zucchini']"
"'bass, striped'","['artichokes', ' bacon', ' bay leaf', ' beets', ' bell peppers, red', ' bell peppers, yellow', ' bok choy', ' butter, clarified', ' butter, unsalted', ' buttermilk', ' calamari', ' carrots', ' cauliflower', ' cayenne', ' celery', ' chanterelles', ' chervil', ' chile peppers, dried', ' chile peppers, fresh', ' chives', ' cilantro', ' clams', ' corn', ' cream', ' cucumber', ' curries and curry powder', ' dill', ' fava beans', ' fennel', ' fish sauce', ' garlic', ' ginger', ' hollandaise sauce', ' horseradish', ' leeks', ' lemon, juice', ' lemon, zest', ' lemon verbena', ' lime, juice', ' mint', ' monkfish', ' mushrooms, shiitake', ' mustard, dijon', ' oil, canola', ' oil, peanut', ' oil, sesame', ' oil, vegetable', ' olive oil', ' olives, picholine', ' onions, pearl', ' onions, red', ' orange', ' paprika, sweet', ' parsley, flat-leaf', ' pepper, black', ' pepper, green', ' pepper, white', ' potatoes', ' prosciutto', ' rosemary', ' sage', ' salt, kosher', ' salt, sea', ' sauerkraut', ' scallions', ' sesame seeds', ' shallots', ' sour cream', ' soy sauce', ' squid', ' squid ink', ' stocks, fish', ' stocks, shellfish', ' tabasco sauce', ' thyme, fresh', ' tomatoes', ' truffles, black', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, white wine', ' walnuts', ' wine, port', ' wine, dry white', ' wine, riesling', ' zucchini']"
'bay leaf',"['allspice', ' apples', ' beans, dried', ' beans, white', ' beef', ' braised dishes', ' caramel', ' cauliflower', ' celery leaf', ' cheese dishes', ' chestnuts', ' chicken', ' corn', ' cream and ice cream', ' custards', ' dates', ' desserts', ' duck', ' figs', ' fish', ' game', ' game birds', ' garlic', ' grains', ' juniper berries', ' lamb', ' lemon, juice', ' lentils', ' marinades', ' marjoram', ' meats', ' mole sauce', ' onions', ' parsley', ' pâté', ' pears', ' pepper, black', ' polenta', ' pork', ' pot roast', ' potatoes', ' poultry', ' prunes', ' pumpkin', ' quail', ' rice', ' rosemary', ' sage', ' salmon', ' sauces', ' sausage', ' savory', ' shellfish, shrimp', ' soups', ' spinach', ' squash, summer', ' squash, winter', ' stews', ' stocks and broths', ' strawberries', ' swordfish', ' thyme', ' tomatoes and tomato sauces', ' tuna', ' turkey', ' vanilla', ' veal', ' venison', ' vinegar']"
'beans',"['carrots', ' celery', ' garlic', ' lemon', ' marjoram', ' mint', ' onions', ' parsley', ' rosemary', ' sage', ' salt', ' savory', ' thyme', ' vinegar']"
"'beans, black'","['allspice', ' apples', ' avocado', ' bacon', ' bay leaf', ' beer', ' bell peppers, green', ' bell peppers, red', ' butter', ' carrots', ' cayenne', ' celery', ' celery root', ' cheese, cheddar', ' cheese, dry feta', ' cheese, farmer's', ' cheese, parmesan', ' cheese, queso fresco', ' cheese, smoked', ' chile peppers, ancho', ' chile peppers, cachuca', ' chile peppers, chipotle', ' chile peppers, jalapeño', ' chili powder, ancho', ' chives', ' cilantro', ' cream', ' crème fraîche', ' cumin', ' duck', ' egg', ' epazote', ' fennel seeds', ' garlic', ' ginger', ' ham and ham hocks', ' lemon', ' lime, juice', ' maple syrup', ' oil, canola', ' oil, olive', ' oil, peanut', ' oil, safflower', ' oil, vegetable', ' olive oil', ' onions, red', ' onions, white', ' onions, yellow', ' orange, fruit', ' orange, juice', ' orange, zest', ' oregano, dried', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' red pepper flakes', ' rice', ' rosemary', ' salsa', ' salt', ' salt pork', ' sausage', ' savory', ' scallions', ' shallots', ' sherry', ' shrimp', ' soups', ' sour cream', ' spinach', ' stocks, beef', ' stocks, chicken', ' stocks, vegetable', ' sugar, brown', ' sugar, white', ' tabasco sauce', ' thyme', ' tomatoes and tomato paste', ' vinegar, cider', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, white wine', ' wine, madeira', ' wine, sherry', ' yogurt']"
"'beans, cannellini'","['bacon', ' carrots', ' celery', ' clams', ' garlic', ' lamb', ' lemon', ' olive oil', ' onions', ' paprika, sweet', ' parsley, flat-leaf', ' pepper, black', ' saffron', ' salads', ' salt, kosher', ' sausages', ' savory', ' soups', ' stock, chicken', ' tarragon', ' thyme', ' tomatoes']"
